Labirinto,Algoritmo,Sucesso,Custo,Passos,Expandidos,Tempo,Fronteira
21x11,BFS,Sim,64.0,64,94,0.00031,3
21x11,DFS,Sim,64.0,64,72,0.00019,5
21x11,UCS,Sim,64.0,64,94,0.00029,3
21x11,Gulosa,Sim,64.0,64,78,0.0003,6
21x11,A*,Sim,64.0,64,86,0.00028,4
42x23,BFS,Sim,262.0,262,431,0.00285,4
42x23,DFS,Sim,262.0,262,308,0.00323,8
42x23,UCS,Sim,262.0,262,431,0.0026,4
42x23,Gulosa,Sim,262.0,262,296,0.00202,9
42x23,A*,Sim,262.0,262,404,0.00248,4
15x15,BFS,Sim,58.0,58,82,0.00049,3
15x15,DFS,Sim,58.0,58,60,0.00037,4
15x15,UCS,Sim,58.0,58,82,0.00049,3
15x15,Gulosa,Sim,58.0,58,60,0.00039,4
15x15,A*,Sim,58.0,58,70,0.00042,3
101x101,BFS,Sim,854.0,854,1264,0.00368,6
101x101,DFS,Sim,854.0,854,932,0.00424,19
101x101,UCS,Sim,854.0,854,1264,0.00858,6
101x101,Gulosa,Sim,854.0,854,932,0.0035,18
101x101,A*,Sim,854.0,854,1131,0.00368,5
Mansion Grid,BFS,Sim,29.0,29,58,0.0002,3
Mansion Grid,DFS,Sim,31.0,31,31,0.00012,2
Mansion Grid,UCS,Sim,29.0,29,58,0.00019,3
Mansion Grid,Gulosa,Sim,29.0,29,29,0.0001,3
Mansion Grid,A*,Sim,29.0,29,50,0.00016,3
Open Battlefield,BFS,Sim,44.0,44,387,0.00115,13
Open Battlefield,DFS,Sim,108.0,108,108,0.0004,112
Open Battlefield,UCS,Sim,44.0,44,387,0.00138,13
Open Battlefield,Gulosa,Sim,44.0,44,44,0.00022,42
Open Battlefield,A*,Sim,44.0,44,387,0.00151,13
U Trap,BFS,Sim,26.0,26,100,0.00036,10
U Trap,DFS,Sim,32.0,32,83,0.00025,26
U Trap,UCS,Sim,26.0,26,100,0.00039,10
U Trap,Gulosa,Sim,26.0,26,63,0.00024,17
U Trap,A*,Sim,26.0,26,90,0.00033,17
